,state,act_2018_participation,act_2018_composite,sat_2018_participation,sat_2018_reading_writing,sat_2018_math,sat_2018_total
0,Alabama,100.0,19.1,6.0,595.0,571.0,1166.0
1,Alaska,33.0,20.8,43.0,562.0,544.0,1106.0
2,Arizona,66.0,19.2,29.0,577.0,572.0,1149.0
3,Arkansas,100.0,19.4,5.0,592.0,576.0,1169.0
4,California,27.0,22.7,60.0,540.0,536.0,1076.0
5,Colorado,30.0,23.9,100.0,519.0,506.0,1025.0
6,Connecticut,26.0,25.6,100.0,535.0,519.0,1053.0
7,Delaware,17.0,23.8,100.0,505.0,492.0,998.0
8,District of columbia,32.0,23.6,92.0,497.0,480.0,977.0
9,Florida,66.0,19.9,56.0,550.0,549.0,1099.0
10,Georgia,53.0,21.4,70.0,542.0,522.0,1064.0
11,Hawaii,89.0,18.9,56.0,480.0,530.0,1010.0
12,Idaho,36.0,22.3,100.0,508.0,493.0,1001.0
13,Illinois,43.0,23.9,99.0,513.0,506.0,1019.0
14,Indiana,32.0,22.5,63.0,542.0,532.0,1074.0
15,Iowa,68.0,21.8,3.0,634.0,631.0,1265.0
16,Kansas,71.0,21.6,4.0,633.0,631.0,1265.0
17,Kentucky,100.0,20.2,4.0,630.0,618.0,1248.0
18,Louisiana,100.0,19.2,4.0,615.0,595.0,1210.0
20,Maine,7.0,24.0,76.0,545.0,535.0,1080.0
21,Maryland,31.0,22.5,80.0,562.0,563.0,1125.0
22,Massachusetts,25.0,25.5,100.0,511.0,499.0,1011.0
23,Michigan,22.0,24.2,4.0,643.0,655.0,1298.0
24,Minnesota,99.0,21.3,3.0,630.0,606.0,1236.0
25,Mississippi,100.0,18.6,4.0,633.0,629.0,1262.0
26,Missouri,100.0,20.0,10.0,606.0,592.0,1198.0
27,Montana,100.0,20.0,3.0,629.0,623.0,1252.0
28,Nebraska,100.0,20.1,23.0,574.0,566.0,1140.0
29,Nevada,100.0,17.7,96.0,535.0,528.0,1063.0
30,New Hampshire,16.0,25.1,82.0,547.0,547.0,1094.0
31,New Jersey,31.0,23.7,16.0,552.0,540.0,1093.0
32,New Mexico,67.0,19.4,79.0,534.0,534.0,1068.0
33,New York,27.0,24.5,52.0,554.0,543.0,1098.0
34,North Carolina,100.0,19.1,2.0,640.0,643.0,1283.0
35,North Dakota,98.0,20.3,8.0,541.0,521.0,1062.0
36,Ohio,100.0,20.3,18.0,552.0,547.0,1099.0
37,Oklahoma,100.0,19.3,48.0,564.0,553.0,1117.0
38,Oregon,42.0,21.3,70.0,547.0,539.0,1086.0
39,Pennsylvania,20.0,23.5,97.0,513.0,505.0,1018.0
40,Rhode Island,15.0,24.2,55.0,547.0,523.0,1070.0
41,South Carolina,100.0,18.3,3.0,622.0,618.0,1240.0
42,South Dakota,77.0,21.9,6.0,624.0,607.0,1231.0
43,Tennessee,100.0,19.6,66.0,520.0,512.0,1032.0
44,Texas,45.0,20.7,4.0,480.0,530.0,1010.0
45,Utah,100.0,20.4,64.0,565.0,554.0,1120.0
46,Vermont,24.0,24.1,68.0,567.0,550.0,1117.0
47,Virginia,24.0,23.9,69.0,543.0,538.0,1081.0
48,Washington,24.0,22.2,28.0,513.0,486.0,999.0
49,West Virginia,65.0,20.3,3.0,641.0,653.0,1294.0
50,Wisconsin,100.0,20.5,3.0,633.0,625.0,1257.0
51,Wyoming,100.0,20.0,,,,
