,state,act_2017_participation,act_2017_english,act_2017_math,act_2017_reading,act_2017_science,act_2017_composite,sat_2017_participation,sat_2017_reading_writing,sat_2017_math,sat_2017_total,act_2018_participation,act_2018_composite,sat_2018_participation,sat_2018_reading_writing,sat_2018_math,sat_2018_total
0,Alabama,100.0,18.9,18.4,19.7,19.4,19.2,38.0,547.0,533.0,1080.0,100.0,19.1,6.0,595.0,571.0,1166.0
1,Alaska,65.0,18.7,19.8,20.4,19.9,19.8,30.0,563.0,553.0,1116.0,33.0,20.8,43.0,562.0,544.0,1106.0
2,Arizona,62.0,18.6,19.8,20.1,19.8,19.7,3.0,614.0,594.0,1208.0,66.0,19.2,29.0,577.0,572.0,1149.0
3,Arkansas,100.0,18.9,19.0,19.7,19.5,19.4,53.0,531.0,524.0,1055.0,100.0,19.4,5.0,592.0,576.0,1169.0
4,California,31.0,22.5,22.7,23.1,22.2,22.8,11.0,606.0,595.0,1201.0,27.0,22.7,60.0,540.0,536.0,1076.0
5,Colorado,100.0,20.1,20.3,21.2,20.9,20.8,100.0,530.0,512.0,1041.0,30.0,23.9,100.0,519.0,506.0,1025.0
6,Connecticut,31.0,25.5,24.6,25.6,24.6,25.2,100.0,503.0,492.0,996.0,26.0,25.6,100.0,535.0,519.0,1053.0
7,Delaware,18.0,24.1,23.4,24.8,23.6,24.1,100.0,482.0,468.0,950.0,17.0,23.8,100.0,505.0,492.0,998.0
8,District of Columbia,32.0,24.4,23.5,24.9,23.5,24.2,83.0,520.0,497.0,1017.0,32.0,23.6,92.0,497.0,480.0,977.0
9,Florida,73.0,19.0,19.4,21.0,19.4,19.8,61.0,535.0,515.0,1050.0,66.0,19.9,56.0,550.0,549.0,1099.0
10,Georgia,55.0,21.0,20.9,22.0,21.3,21.4,55.0,544.0,541.0,1085.0,53.0,21.4,70.0,542.0,522.0,1064.0
11,Hawaii,90.0,17.8,19.2,19.2,19.3,19.0,93.0,513.0,493.0,1005.0,89.0,18.9,56.0,480.0,530.0,1010.0
12,Idaho,38.0,21.9,21.8,23.0,22.1,22.3,9.0,559.0,556.0,1115.0,36.0,22.3,100.0,508.0,493.0,1001.0
13,Illinois,93.0,21.0,21.2,21.6,21.3,21.4,63.0,542.0,532.0,1074.0,43.0,23.9,99.0,513.0,506.0,1019.0
14,Indiana,35.0,22.0,22.4,23.2,22.3,22.6,2.0,641.0,635.0,1275.0,32.0,22.5,63.0,542.0,532.0,1074.0
15,Iowa,67.0,21.2,21.3,22.6,22.1,21.9,4.0,632.0,628.0,1260.0,68.0,21.8,3.0,634.0,631.0,1265.0
16,Kansas,73.0,21.1,21.3,22.3,21.7,21.7,4.0,631.0,616.0,1247.0,71.0,21.6,4.0,633.0,631.0,1265.0
17,Kentucky,100.0,19.6,19.4,20.5,20.1,20.0,4.0,611.0,586.0,1198.0,100.0,20.2,4.0,630.0,618.0,1248.0
18,Louisiana,100.0,19.4,18.8,19.8,19.6,19.5,95.0,513.0,499.0,1012.0,100.0,19.2,4.0,615.0,595.0,1210.0
19,Maine,8.0,24.2,24.0,24.8,23.7,24.3,69.0,536.0,52.0,1060.0,7.0,24.0,76.0,545.0,535.0,1080.0
20,Maryland,28.0,23.3,23.1,24.2,2.3,23.6,76.0,555.0,551.0,1107.0,31.0,22.5,80.0,562.0,563.0,1125.0
21,Massachusetts,29.0,25.4,25.3,25.9,24.7,25.4,100.0,509.0,495.0,1005.0,25.0,25.5,100.0,511.0,499.0,1011.0
22,Michigan,29.0,24.1,23.7,24.5,23.8,24.1,3.0,644.0,651.0,1295.0,22.0,24.2,4.0,643.0,655.0,1298.0
23,Minnesota,100.0,20.4,21.5,21.8,21.6,21.5,2.0,634.0,607.0,1242.0,99.0,21.3,3.0,630.0,606.0,1236.0
